"","H_DATE","H_URLTeam","A_URLTeam","H_Tpct","H_TLast10","H_HRpct","H_HRLast10","H_ARpct","H_ARLast10","A_Tpct","A_TLast10","A_HRpct","A_HRLast10","A_ARpct","A_ARLast10","H_Outcome"
"186","Mon, Nov 15","OKC","MIA",0.416666666666667,0.5,0.5,0.5,0.2,0.2,0.615384615384615,0.6,0.75,0.75,0.5,0.5,"0"
"187","Wed, Nov 17","OKC","HOU",0.384615384615385,0.5,0.428571428571429,0.428571428571429,0.2,0.2,0.0714285714285714,0,0.2,0.2,0,0,"1"
"188","Wed, Nov 24","OKC","UTAH",0.352941176470588,0.5,0.5,0.5,0.25,0.25,0.647058823529412,0.5,0.75,0.75,0.625,0.625,"0"
"189","Fri, Nov 26","OKC","WSH",0.333333333333333,0.4,0.444444444444444,0.444444444444444,0.25,0.25,0.611111111111111,0.6,0.875,0.875,0.444444444444444,0.444444444444444,"0"
"190","Wed, Dec 1","OKC","HOU",0.3,0.2,0.4,0.4,0.222222222222222,0.222222222222222,0.2,0.3,0.375,0.375,0,0,"0"
"191","Fri, Dec 10","OKC","LAL",0.333333333333333,0.2,0.363636363636364,0.4,0.25,0.3,0.5,0.5,0.533333333333333,0.5,0.4,0.4,"0"
"192","Sun, Dec 12","OKC","DAL",0.32,0.2,0.333333333333333,0.4,0.25,0.3,0.48,0.3,0.545454545454545,0.5,0.461538461538462,0.5,"0"
"193","Wed, Dec 15","OKC","NO",0.307692307692308,0.2,0.307692307692308,0.3,0.25,0.3,0.275862068965517,0.5,0.25,0.3,0.25,0.3,"0"
"194","Sat, Dec 18","OKC","LAC",0.296296296296296,0.2,0.285714285714286,0.2,0.25,0.3,0.551724137931034,0.5,0.611111111111111,0.5,0.4,0.4,"1"
"195","Wed, Dec 22","OKC","DEN",0.344827586206897,0.4,0.333333333333333,0.2,0.307692307692308,0.4,0.517241379310345,0.6,0.666666666666667,0.7,0.4375,0.5,"1"
"196","Sun, Dec 26","OKC","NO",0.354838709677419,0.5,0.375,0.3,0.357142857142857,0.5,0.363636363636364,0.6,0.357142857142857,0.5,0.333333333333333,0.5,"1"
"197","Fri, Dec 31","OKC","NY",0.352941176470588,0.4,0.411764705882353,0.4,0.3125,0.3,0.485714285714286,0.5,0.352941176470588,0.3,0.588235294117647,0.5,"1"
"198","Sun, Jan 2","OKC","DAL",0.371428571428571,0.5,0.444444444444444,0.4,0.3125,0.3,0.485714285714286,0.5,0.533333333333333,0.4,0.473684210526316,0.6,"0"
"199","Fri, Jan 7","OKC","MIN",0.351351351351351,0.5,0.421052631578947,0.4,0.294117647058824,0.3,0.473684210526316,0.5,0.5,0.6,0.411764705882353,0.4,"0"
"200","Sun, Jan 9","OKC","DEN",0.342105263157895,0.4,0.4,0.4,0.294117647058824,0.3,0.513513513513513,0.5,0.533333333333333,0.4,0.476190476190476,0.6,"0"
"201","Sat, Jan 15","OKC","CLE",0.341463414634146,0.3,0.380952380952381,0.4,0.263157894736842,0.3,0.581395348837209,0.5,0.578947368421053,0.7,0.608695652173913,0.6,"0"
"202","Mon, Jan 24","OKC","CHI",0.304347826086957,0.1,0.363636363636364,0.4,0.260869565217391,0.2,0.622222222222222,0.3,0.714285714285714,0.8,0.521739130434783,0.3,"0"
"203","Fri, Jan 28","OKC","IND",0.297872340425532,0.1,0.347826086956522,0.4,0.260869565217391,0.2,0.346938775510204,0.3,0.5,0.4,0.208333333333333,0.2,"0"
"204","Mon, Jan 31","OKC","POR",0.291666666666667,0.1,0.333333333333333,0.4,0.260869565217391,0.2,0.42,0.5,0.538461538461538,0.4,0.304347826086957,0.5,"1"
